Date,Value
2017-11-15,1682779.594
2017-11-14,1625608.202
2017-11-13,1522432.044
2017-11-10,1544481.791
2017-11-09,1728683.496
2017-11-08,1971992.666
2017-11-07,1914625.901
2017-11-06,1806462.523
2017-11-03,1992973.92
2017-11-02,2536960.157
2017-11-01,2601448.026
2017-10-31,1852610.238
2017-10-30,1358417.533
2017-10-27,1614410.586
2017-10-26,1598149.102
2017-10-25,1441512.749
2017-10-24,1451573.78
2017-10-23,1408288.007
2017-10-20,1660293.118
2017-10-19,1681411.968
2017-10-18,1764837.082
2017-10-17,1594720.502
2017-10-16,1513867.541
2017-10-13,1530224.046
2017-10-12,1407078.146
2017-10-11,1938181.798
2017-10-10,1474419.986
2017-10-09,1843971.143
2017-10-06,1417296.77
2017-10-05,1613600.639
2017-10-04,1801699.008
2017-10-03,1527292.685
2017-10-02,1213576.869
2017-09-29,1283659.748
2017-09-28,1317008.689
2017-09-27,1543382.012
2017-09-26,1441283.292
2017-09-25,1730364.765
2017-09-22,1416911.645
2017-09-21,1374711.568
2017-09-20,1351728.677
2017-09-19,1721562.216
2017-09-18,1514339.428
2017-09-15,1337257.56
2017-09-14,1861271.592
2017-09-13,1737740.485
2017-09-12,1750221.422
2017-09-11,1786894.519
2017-09-08,1836868.074
2017-09-07,2104910.226
2017-09-06,1832109.055
2017-09-05,1633572.275
2017-08-31,648368.019
2017-08-29,1734755.42
2017-08-28,1167253.018
2017-08-25,1277346.348
2017-08-24,1717143.654
2017-08-23,1757707.143
2017-08-22,1863149.278
2017-08-21,1942959.923
2017-08-18,1865515.396
2017-08-17,1928020.551
2017-08-16,2337539.425
2017-08-15,2808924.631
2017-08-14,2252134.811
2017-08-11,1791349.188
2017-08-10,1689426.308
2017-08-09,1949149.867
2017-08-08,1988024.09
2017-08-07,1667808.457
2017-08-04,1427243.53
2017-08-03,1527605.307
2017-08-02,1562032.947
2017-08-01,1922440.173
2017-07-31,1517374.499
2017-07-28,1545255.187
2017-07-27,1913851.201
2017-07-26,1592090.077
2017-07-25,1381118.238
2017-07-24,1384489.151
2017-07-21,1409890.591
2017-07-20,1689128.773
2017-07-19,1745670.527
2017-07-18,1377681.483
2017-07-17,1429069.21
2017-07-14,1289947.764
2017-07-13,1621594.916
2017-07-12,1651603.406
2017-07-11,1822273.245
2017-07-10,1106803.092
2017-07-07,1117172.413
2017-07-06,1505158.891
2017-07-05,1277281.687
2017-07-04,1359402.957
2017-07-03,1111380.644
2017-06-30,1263958.958
2017-06-29,1275148.057
2017-06-28,1220993.295
2017-06-23,932293.045
2017-06-22,1086842.587
2017-06-21,1178701.501
2017-06-20,1278447.811
2017-06-19,1180959.394
2017-06-16,1007971.913
2017-06-15,1216509.25
2017-06-14,1495261.851
2017-06-13,1430449.33
2017-06-12,1255887.088
2017-06-09,1225914.208
2017-06-08,1169761.208
2017-06-07,1622259.804
2017-06-06,1257624.151
2017-06-05,1410967.134
2017-06-02,1138155.998
2017-06-01,1249471.636
2017-05-31,1603897.392
2017-05-30,1420271.376
2017-05-29,1003176.502
2017-05-26,1385877.03
2017-05-25,1682011.825
2017-05-24,1887113.952
2017-05-23,1554917.452
2017-05-22,1285299.945
2017-05-18,1445533.1
2017-05-17,1663527.232
2017-05-16,1310922.88
2017-05-15,973042.676
2017-05-12,1195466.304
2017-05-11,1407545.562
2017-05-10,1364162.194
2017-05-09,1224721.583
2017-05-08,1246704.726
2017-05-05,1178202.241
2017-05-04,1236212.676
2017-05-03,1119578.074
2017-05-02,1061370.038
2017-04-28,1102988.881
2017-04-27,1131913.268
2017-04-26,1285649.777
2017-04-25,1340098.561
2017-04-24,1272767.728
2017-04-21,1058456.436
2017-04-20,1209942.034
2017-04-19,1361010.908
2017-04-18,1178525.779
2017-04-17,998364.833
2017-04-14,721126.896
2017-04-13,987507.048
2017-04-12,1050401.556
2017-04-11,1229917.459
2017-04-10,1319288.304
2017-04-07,969929.786
2017-04-06,917342.647
2017-04-05,951565.36
2017-04-04,803947.306
2017-04-03,746341.113
2017-03-31,978100.415
2017-03-30,1021800.567
2017-03-29,1184532.231
2017-03-28,1014279.897
2017-03-27,1070237.287
2017-03-24,996931.016
2017-03-23,1171676.938
2017-03-22,1335442.86
2017-03-21,1417000.617
2017-03-20,978882.394
2017-03-17,1107029.438
2017-03-16,1197996.988
2017-03-15,1126222.711
2017-03-14,1156831.201
2017-03-13,985791.435
2017-03-10,955685.605
2017-03-09,1076375.16
2017-03-08,1371883.205
2017-03-07,1213193.802
2017-03-06,1088351.234
2017-03-03,1183221.223
2017-03-02,1183505.312
2017-03-01,1316863.999
2017-02-28,1193701.987
2017-02-27,837718.322
2017-02-24,990284.385
2017-02-23,1020631.975
2017-02-22,1135538.261
2017-02-21,1029680.793
2017-02-20,1061616.73
2017-02-17,949549.314
2017-02-16,934570.431
2017-02-15,1161910.93
2017-02-14,1422924.101
2017-02-13,1181763.432
2017-02-10,1545708.088
2017-02-09,1415788.311
2017-02-08,1328586.763
2017-02-07,1428593.738
2017-02-06,1679158.484
2017-02-03,1481104.294
2017-02-02,1688733.488
2017-02-01,1314074.766
2017-01-31,1530409.109
2017-01-30,1616877.611
2017-01-27,1126853.131
2017-01-26,1147353.026
2017-01-25,1268270.736
2017-01-24,1421424.223
2017-01-23,1224964.202
2017-01-20,1124767.329
2017-01-19,1345373.535
2017-01-18,1479782.141
2017-01-17,1459956.133
2017-01-16,1233812.491
2017-01-13,1573226.41
2017-01-12,1892515.597
2017-01-11,1129284.253
2017-01-10,1117441.752
2017-01-09,849551.798
2017-01-06,859218.067
2017-01-05,1179761.377
2017-01-04,927373.792
2017-01-03,1054959.528
2017-01-02,546619.883
2016-12-30,646596.724
2016-12-29,744713.322
2016-12-28,767289.902
2016-12-27,649987.53
2016-12-26,526184.299
2016-12-23,826744.309
2016-12-22,913810.065
2016-12-21,884851.888
2016-12-20,888214.86
2016-12-19,894278.972
2016-12-16,1066692.353
2016-12-15,1213439.725
2016-12-14,779942.248
2016-12-13,990189.524
2016-12-12,891044.235
2016-12-09,848358.51
2016-12-08,1187711.831
2016-12-07,1102046.39
2016-12-06,1143025.594
2016-12-05,953541.942
2016-12-02,1172799.851
2016-12-01,1212023.731
2016-11-30,941943.019
2016-11-29,907474.343
2016-11-28,825450.136
2016-11-25,854321.334
2016-11-24,1391517.419
2016-11-23,922935.551
2016-11-22,825826.828
2016-11-21,836735.985
2016-11-18,965059.98
2016-11-17,948790.454
2016-11-16,906384.725
2016-11-15,907047.863
2016-11-14,940577.284
2016-11-11,996347.702
2016-11-10,1192222.17
2016-11-09,1408729.752
2016-11-08,1072678.128
2016-11-07,923636.399
2016-11-04,1242123.188
2016-11-03,860260.608
2016-11-02,835533.943
2016-11-01,1109951.977
2016-10-31,811916.09
2016-10-28,482283.401
2016-10-27,1003277.312
2016-10-26,1154321.938
2016-10-25,1049176.918
2016-10-24,839656.156
2016-10-21,781398.315
2016-10-20,1013764.465
2016-10-19,1023787.025
2016-10-18,1111887.055
2016-10-17,923759.921
2016-10-14,1025373.145
2016-10-13,1160316.106
2016-10-12,1118567.836
2016-10-11,1088973.205
2016-10-10,1024476.74
2016-10-07,850067.298
2016-10-06,995085.47
2016-10-05,1153811.634
2016-10-04,1070939.194
2016-10-03,737623.331
2016-09-30,774049.433
2016-09-29,1001111.356
2016-09-28,947511.891
2016-09-27,926833.448
2016-09-26,1138831.142
2016-09-23,895449.021
2016-09-22,1137045.926
2016-09-21,913632.388
2016-09-20,871046.922
2016-09-19,796196.498
2016-09-16,735862.696
2016-09-09,858740.284
2016-09-08,739545.767
2016-09-07,689180.56
2016-09-06,746700.535
2016-09-05,759449.874
2016-09-02,768970.698
2016-09-01,682928.596
2016-08-31,786558.078
2016-08-29,614412.537
2016-08-26,826424.677
2016-08-25,978197.159
2016-08-24,992677.55
2016-08-23,840333.065
2016-08-22,702522.653
2016-08-19,640986.721
2016-08-18,782332.338
2016-08-17,770249.915
2016-08-16,890673.175
2016-08-15,715101.791
2016-08-12,916304.918
2016-08-11,865188.723
2016-08-10,990526.025
2016-08-09,1302337.417
2016-08-08,938287.772
2016-08-05,912235.323
2016-08-04,930983.658
2016-08-03,869984.524
2016-08-02,957015.392
2016-08-01,843072.777
2016-07-29,857195.038
2016-07-28,955336.633
2016-07-27,971683.86
2016-07-26,878492.652
2016-07-25,895045.163
2016-07-22,1063168.549
2016-07-21,1192010.745
2016-07-20,1073708.407
2016-07-19,1423774.566
2016-07-18,1694599.87
2016-07-15,741970.088
2016-07-14,905183.187
2016-07-13,1010433.747
2016-07-12,1066301.299
2016-07-11,709529.487
2016-07-08,585210.761
2016-07-04,219398.631
2016-07-01,611544.543
2016-06-30,751547.264
2016-06-29,962009.975
2016-06-28,831942.481
2016-06-27,910233.808
2016-06-24,865756.806
2016-06-23,780444.32
2016-06-22,655110.168
2016-06-21,783040.816
2016-06-20,701349.04
2016-06-17,769438.617
2016-06-16,634050.682
2016-06-15,737322.461
2016-06-14,880257.825
2016-06-13,763828.91
2016-06-10,758751.173
2016-06-09,846434.894
2016-06-08,882998.077
2016-06-07,923496.136
2016-06-06,691879.048
2016-06-03,834280.341
2016-06-02,693134.319
2016-06-01,824671.018
2016-05-31,848024.233
2016-05-30,656795.069
2016-05-27,708228.935
2016-05-26,932593.848
2016-05-25,911442.27
2016-05-24,1253285.794
2016-05-23,691190.725
2016-05-20,825035.929
2016-05-18,903434.276
2016-05-17,868423.113
2016-05-16,663814.836
2016-05-13,870924.01
2016-05-12,938222.092
2016-05-11,977484.777
2016-05-10,939607.807
2016-05-09,865598.157
2016-05-06,1270837.922
2016-05-05,1390523.98
